SCF Domain,SCF Control,SCF #,"Secure Controls Framework (SCF)
Control Description",Methods To Comply With SCF Controls,SCF Control Question
Network Security,Network Security Controls (NSC),NET-01,"Mechanisms exist to develop, govern & update procedures to facilitate the implementation of Network Security Controls (NSC).","- CimTrak Integrity Suite (https://www.cimcor.com/cimtrak/)
- NNT Change Tracker (https://www.newnettechnologies.com)","Does the organization develop, govern & update procedures to facilitate the implementation of network security controls?"
Network Security,Zero Trust Architecture (ZTA),NET-01.1,Mechanisms exist to treat all users and devices as potential threats and prevent access to data and resources until the users can be properly authenticated and their access authorized.,,Does the organization treat all users as potential threats and prevent access to data and resources until the users can be properly authenticated and their access authorized?
Network Security,Layered Network Defenses ,NET-02,Mechanisms exist to implement security functions as a layered structure that minimizes interactions between layers of the design and avoids any dependence by lower layers on the functionality or correctness of higher layers. ,,Does the organization implement security functions as a layered structure that minimizes interactions between layers of the design and avoids any dependence by lower layers on the functionality or correctness of higher layers? 
Network Security,Denial of Service (DoS) Protection,NET-02.1,Automated mechanisms exist to protect against or limit the effects of denial of service attacks. ,,Does the organization protect against or limit the effects of Denial of Service (DoS) attacks? 
Network Security,Guest Networks,NET-02.2,Mechanisms exist to implement and manage a secure guest network. ,,Does the organization implement and manage a secure guest network? 
Network Security,Cross Domain Solution (CDS),NET-02.3,Mechanisms exist to implement a Cross Domain Solution (CDS) to mitigate the specific security risks of accessing or transferring information between security domains.,,Does the organization implement a Cross Domain Solution (CDS) to mitigate the specific security risks of accessing or transferring information between security domains?
Network Security,Boundary Protection ,NET-03,Mechanisms exist to monitor and control communications at the external network boundary and at key internal boundaries within the network.,,Are boundary protection mechanisms utilized to monitor and control communications at the external network boundary and at key internal boundaries within the network?
Network Security,Limit Network Connections,NET-03.1,Mechanisms exist to limit the number of concurrent external network connections to its systems. ,,Does the organization limit the number of concurrent external network connections to its systems?
Network Security,External Telecommunications Services ,NET-03.2,Mechanisms exist to maintain a managed interface for each external telecommunication service that protects the confidentiality and integrity of the information being transmitted across each interface.,- Outbound content filtering,Does the organization maintain a managed interface for each external telecommunication service that protects the confidentiality and integrity of the information being transmitted across each interface?
Network Security,Prevent Discovery of Internal Information,NET-03.3,Mechanisms exist to prevent the public disclosure of internal network information. ,,Does the organization prevent the public disclosure of internal address information? 
Network Security,Personal Data (PD),NET-03.4,Mechanisms exist to apply network-based processing rules to data elements of Personal Data (PD).,- Data Loss Prevention (DLP),Does the organization apply network-based processing rules to data elements of Personal Data (PD)?
Network Security,Prevent Unauthorized Exfiltration,NET-03.5,Automated mechanisms exist to prevent the unauthorized exfiltration of sensitive/regulated data across managed interfaces. ,,Does the organization prevent the unauthorized exfiltration of sensitive/regulated data across managed interfaces?
Network Security,Dynamic Isolation & Segregation (Sandboxing),NET-03.6,"Automated mechanisms exist to dynamically isolate (e.g., sandbox) untrusted components during runtime, where the component is isolated in a fault-contained environment but it can still collaborate with the application. ",,"Does the organization dynamically isolate (e.g., sandbox) untrusted components during runtime, where the component is isolated in a fault-contained environment but it can still collaborate with the application? "
Network Security,Isolation of Information System Components,NET-03.7,"Mechanisms exist to employ boundary protections to isolate systems, services and processes that support critical missions and/or business functions. ",,"Does the organization employ boundary protections to isolate systems, services and process that support critical missions and/or business functions? "
Network Security,Separate Subnet for Connecting to Different Security Domains,NET-03.8,"Mechanisms exist to implement separate network addresses (e.g., different subnets) to connect to systems in different security domains.",,"Does the organization implement separate network addresses (e.g., different subnets) to connect to systems in different security domains?"
Network Security,Data Flow Enforcement – Access Control Lists (ACLs),NET-04,"Mechanisms exist to design, implement and review firewall and router configurations to restrict connections between untrusted networks and internal systems. ","- CimTrak Integrity Suite (https://www.cimcor.com/cimtrak/)
- NNT Change Tracker (https://www.newnettechnologies.com)","Does the organization design, implement and review firewall and router configurations to restrict connections between untrusted networks and internal systems? "
Network Security,Deny Traffic by Default & Allow Traffic by Exception,NET-04.1,"Mechanisms exist to configure firewall and router configurations to deny network traffic by default and allow network traffic by exception (e.g., deny all, permit by exception). ",,"Does the organization configure firewall and router configurations to deny network traffic by default and allow network traffic by exception (e.g., deny all, permit by exception)? "
Network Security,Object Security Attributes ,NET-04.2,"Mechanisms exist to associate security attributes with information, source and destination objects to enforce defined information flow control configurations as a basis for flow control decisions. ",- NNT Change Tracker (https://www.newnettechnologies.com),"Does the organization associate security attributes with information, source and destination objects to enforce defined information flow control configurations as a basis for flow control decisions? "
Network Security,Content Check for Encrypted Data,NET-04.3,Mechanisms exist to prevent encrypted data from bypassing content-checking mechanisms. ,,Does the organization prevent encrypted data from bypassing content-checking mechanisms? 
Network Security,Embedded Data Types,NET-04.4,Mechanisms exist to enforce limitations on embedding data within other data types. ,- Prevent exfiltration through steganography,Does the organization enforce limitations on embedding data within other data types? 
Network Security,Metadata ,NET-04.5,Mechanisms exist to enforce information flow controls based on metadata. ,,Does the organization enforce information flow controls based on metadata? 
Network Security,Human Reviews,NET-04.6,Mechanisms exist to enforce the use of human reviews for Access Control Lists (ACLs) and similar rulesets on a routine basis. ,,Does the organization enforce the use of human reviews for Access Control Lists (ACLs) and similar rulesets on a routine basis? 
Network Security,Security Policy Filters,NET-04.7,Automated mechanisms exist to enforce information flow control using security policy filters as a basis for flow control decisions.,,Does the organization enforce information flow control using security policy filters as a basis for flow control decisions?
Network Security,Data Type Identifiers,NET-04.8,Automated mechanisms exist to utilize data type identifiers to validate data essential for information flow decisions when transferring information between different security domains.,,Does the organization utilize data type identifiers to validate data essential for information flow decisions when transferring information between different security domains?
Network Security,Decomposition Into Policy-Related Subcomponents,NET-04.9,"Automated mechanisms exist to decompose information into policy-relevant subcomponents for submission to policy enforcement mechanisms, when transferring information between different security domains.",,"Does the organization decompose information into policy-relevant subcomponents for submission to policy enforcement mechanisms, when transferring information between different security domains?"
Network Security,Detection of Unsanctioned Information,NET-04.10,"Automated mechanisms exist to implement security policy filters requiring fully enumerated formats that restrict data structure and content, when transferring information between different security domains.",,"Does the organization implement security policy filters requiring fully enumerated formats that restrict data structure and content, when transferring information between different security domains?"
