SCF Domain,SCF Control,SCF #,"Secure Controls Framework (SCF)
Control Description",Methods To Comply With SCF Controls,SCF Control Question
Data Classification & Handling ,Data Protection ,DCH-01,Mechanisms exist to facilitate the implementation of data protection controls. ,,Does the organization facilitate the implementation of data protection controls? 
Data Classification & Handling ,Data Stewardship ,DCH-01.1,"Mechanisms exist to ensure data stewardship is assigned, documented and communicated. ",,"Does the organization ensure data stewardship is assigned, documented and communicated? "
Data Classification & Handling ,Sensitive / Regulated Data Protection,DCH-01.2,Mechanisms exist to protect sensitive/regulated data wherever it is stored.,,Does the organization protect sensitive/regulated data wherever it is stored?
Data Classification & Handling ,Sensitive / Regulated Media Records,DCH-01.3,Mechanisms exist to ensure media records for sensitive/regulated data contain sufficient information to determine the potential impact in the event of a data loss incident.,,Does the organization ensure media records for sensitive/regulated data contain sufficient information to determine the potential impact in the event of a data loss incident?
Data Classification & Handling ,Data & Asset Classification ,DCH-02,"Mechanisms exist to ensure data and assets are categorized in accordance with applicable statutory, regulatory and contractual requirements. ",,"Does the organization ensure data and assets are categorized in accordance with applicable statutory, regulatory and contractual requirements? "
Data Classification & Handling ,Highest Classification Level,DCH-02.1,"Mechanisms exist to ensure that systems, applications and services are classified according to the highest level of data sensitivity that is stored, transmitted and/or processed.",,"Does the organization ensure that systems, applications and services are classified according to the highest level of data sensitivity that is stored, transmitted and/or processed?"
Data Classification & Handling ,Media Access ,DCH-03,Mechanisms exist to control and restrict access to digital and non-digital media to authorized individuals. ,- Data Loss Prevention (DLP),Does the organization control and restrict access to digital and non-digital media to authorized individuals? 
Data Classification & Handling ,Disclosure of Information,DCH-03.1,Mechanisms exist to restrict the disclosure of sensitive / regulated data to authorized parties with a need to know.,,Does the organization limit the disclosure of data to authorized parties? 
Data Classification & Handling ,Masking Displayed Data ,DCH-03.2,Mechanisms exist to apply data masking to sensitive information that is displayed or printed. ,,Does the organization apply data masking to sensitive information that is displayed or printed? 
Data Classification & Handling ,Controlled Release,DCH-03.3,Automated mechanisms exist to validate cybersecurity and privacy attributes prior to releasing information to external systems.,,Does the organization automatically validate cybersecurity and privacy attributes prior to releasing information to external systems?
Data Classification & Handling ,Media Marking ,DCH-04,"Mechanisms exist to mark media in accordance with data protection requirements so that personnel are alerted to distribution limitations, handling caveats and applicable security requirements. ",,"Does the organization mark media in accordance with data protection requirements so that personnel are alerted to distribution limitations, handling caveats and applicable security requirements? "
Data Classification & Handling ,Automated Marking,DCH-04.1,"Automated mechanisms exist to mark physical media and digital files to indicate the distribution limitations, handling requirements and applicable security markings (if any) of the information to aid Data Loss Prevention (DLP) technologies. ",,"Does the organization use automated mechanisms to mark media and system output to indicate the distribution limitations, handling requirements and applicable security markings (if any) of the information to aid Data Loss Prevention (DLP) technologies? "
Data Classification & Handling ,Security & Privacy Attributes,DCH-05,"Mechanisms exist to bind security attributes to information as it is stored, transmitted and processed.",,"Does the organization bind security attributes to information as it is stored, transmitted and processed?"
Data Classification & Handling ,Dynamic Attribute Association,DCH-05.1,"Mechanisms exist to dynamically associate cybersecurity and privacy attributes with individuals and objects as information is created, combined, or transformed, in accordance with organization-defined cybersecurity and privacy policies.",,"Does the organization dynamically associate cybersecurity and privacy attributes with individuals and objects as information is created, combined, or transformed, in accordance with organization-defined cybersecurity and privacy policies?"
Data Classification & Handling ,Attribute Value Changes By Authorized Individuals,DCH-05.2,Mechanisms exist to provide authorized individuals (or processes acting on behalf of individuals) the capability to define or change the value of associated cybersecurity and privacy attributes.,,Does the organization provide authorized individuals (or processes acting on behalf of individuals) the capability to define or change the value of associated cybersecurity and privacy attributes?
Data Classification & Handling ,Maintenance of Attribute Associations By System,DCH-05.3,Mechanisms exist to maintain the association and integrity of cybersecurity and privacy attributes to individuals and objects.,,Does the organization maintain the association and integrity of cybersecurity and privacy attributes to individuals and objects?
Data Classification & Handling ,Association of Attributes By Authorized Individuals,DCH-05.4,Mechanisms exist to provide the capability to associate cybersecurity and privacy attributes with individuals and objects by authorized individuals (or processes acting on behalf of individuals).,,Does the organization provide the capability to associate cybersecurity and privacy attributes with individuals and objects by authorized individuals (or processes acting on behalf of individuals)?
Data Classification & Handling ,Attribute Displays for Output Devices,DCH-05.5,"Mechanisms exist to display cybersecurity and privacy attributes in human-readable form on each object that the system transmits to output devices to identify special dissemination, handling or distribution instructions using human-readable, standard naming conventions.",,"Does the organization display cybersecurity and privacy attributes in human-readable form on each object that the system transmits to output devices to identify special dissemination, handling or distribution instructions using human-readable, standard naming conventions?"
Data Classification & Handling ,Data Subject Attribute Associations,DCH-05.6,Mechanisms exist to require personnel to associate and maintain the association of cybersecurity and privacy attributes with individuals and objects in accordance with cybersecurity and privacy policies.,,Does the organization require personnel to associate and maintain the association of cybersecurity and privacy attributes with individuals and objects in accordance with cybersecurity and privacy policies?
Data Classification & Handling ,Consistent Attribute Interpretation,DCH-05.7,"Mechanisms exist to provide a consistent, organizationally agreed upon interpretation of cybersecurity and privacy attributes employed in access enforcement and flow enforcement decisions between distributed system components.",,"Does the organization provide a provide a consistent, organizationally agreed upon interpretation of cybersecurity and privacy attributes employed in access enforcement and flow enforcement decisions between distributed system components?"
Data Classification & Handling ,Identity Association Techniques & Technologies,DCH-05.8,Mechanisms exist to associate cybersecurity and privacy attributes to information.,,Does the organization associate cybersecurity and privacy attributes to information?
Data Classification & Handling ,Attribute Reassignment,DCH-05.9,"Mechanisms exist to reclassify data as required, due to changing business/technical requirements.",,"Does the organization reclassify data as required, due to changing business/technical requirements?"
Data Classification & Handling ,Attribute Configuration By Authorized Individuals,DCH-05.10,Mechanisms exist to provide authorized individuals the capability to define or change the type and value of cybersecurity and privacy attributes available for association with subjects and objects.,,Does the organization provide authorized individuals the capability to define or change the type and value of cybersecurity and privacy attributes available for association with subjects and objects?
Data Classification & Handling ,Audit Changes,DCH-05.11,Mechanisms exist to audit changes to cybersecurity and privacy attributes and responds to events in accordance with incident response procedures.,- CimTrak Integrity Suite (https://www.cimcor.com/cimtrak/),Does the organization audit changes to cybersecurity and privacy attributes and respond to them in a timely manner?
Data Classification & Handling ,Media Storage,DCH-06,"Mechanisms exist to: 
 ▪ Physically control and securely store digital and non-digital media within controlled areas using organization-defined security measures; and
 ▪ Protect system media until the media are destroyed or sanitized using approved equipment, techniques and procedures.",,"Does the organization: 
 ▪ Physically control and securely store digital and non-digital media within controlled areas using organization-defined security measures; and
 ▪ Protect system media until the media are destroyed or sanitized using approved equipment, techniques and procedures?"
Data Classification & Handling ,Physically Secure All Media,DCH-06.1,Mechanisms exist to physically secure all media that contains sensitive information.,- Lockbox,Does the organization physically secure all media that contains sensitive information?
Data Classification & Handling ,Sensitive Data Inventories,DCH-06.2,Mechanisms exist to maintain inventory logs of all sensitive media and conduct sensitive media inventories at least annually. ,,Does the organization maintain inventory logs of all sensitive media and conduct sensitive media inventories at least annually? 
Data Classification & Handling ,Periodic Scans for Sensitive Data,DCH-06.3,"Mechanisms exist to periodically scan unstructured data sources for sensitive/regulated data or data requiring special protection measures by statutory, regulatory or contractual obligations. ",,"Does the organization periodically scan unstructured data sources for sensitive/regulated data or data requiring special protection measures by statutory, regulatory or contractual obligations? "
Data Classification & Handling ,Making Sensitive Data Unreadable In Storage,DCH-06.4,Mechanisms exist to ensure sensitive/regulated data is rendered human unreadable anywhere sensitive/regulated data is stored. ,,Does the organization ensure sensitive/regulated data is rendered human unreadable anywhere sensitive/regulated data is stored? 
Data Classification & Handling ,Storing Authentication Data,DCH-06.5,Mechanisms exist to prohibit the storage of sensitive transaction authentication data after authorization. ,,Does the organization prohibit the storage of sensitive authentication data after authorization? 
Data Classification & Handling ,Media Transportation ,DCH-07,Mechanisms exist to protect and control digital and non-digital media during transport outside of controlled areas using appropriate security measures.,- Assigned couriers,Does the organization protect and control digital and non-digital media during transport outside of controlled areas using appropriate security measures?
Data Classification & Handling ,Custodians,DCH-07.1,Mechanisms exist to identify custodians throughout the transport of digital or non-digital media. ,- Chain of custody,Does the organization identify custodians throughout the transport of digital or non-digital media?
Data Classification & Handling ,Encrypting Data In Storage Media,DCH-07.2,Cryptographic mechanisms exist to protect the confidentiality and integrity of information stored on digital media during transport outside of controlled areas.,,Does the organization protect the confidentiality and integrity of information stored on digital media during transport outside of controlled areas with cryptographic mechanisms?
Data Classification & Handling ,Physical Media Disposal,DCH-08,"Mechanisms exist to securely dispose of media when it is no longer required, using formal procedures. ","- Shred-it
- IronMountain
- DoD-strength data erasers","Does the organization securely dispose of media when it is no longer required, using formal procedures? "
Data Classification & Handling ,Digital Media Sanitization,DCH-09,"Mechanisms exist to sanitize digital media with the strength and integrity commensurate with the classification or sensitivity of the information prior to disposal, release out of organizational control or release for reuse.",,"Does the organization sanitize digital media with the strength and integrity commensurate with the classification or sensitivity of the information prior to disposal, release out of organizational control or release for reuse?"
