SCF Domain,SCF Control,SCF #,"Secure Controls Framework (SCF)
Control Description",Methods To Comply With SCF Controls,SCF Control Question
Cybersecurity & Privacy Governance,Digital Security Governance Program ,GOV-01,Mechanisms exist to facilitate the implementation of cybersecurity and privacy governance controls.,"- Steering committee
- Digital Security Program (DSP)
- Cybersecurity & Data Protection Program (CDPP)",Does the organization staff a function to centrally-govern cybersecurity and privacy controls?
Cybersecurity & Privacy Governance,Steering Committee & Program Oversight,GOV-01.1,"Mechanisms exist to coordinate cybersecurity, privacy and business alignment through a steering committee or advisory board, comprised of key cybersecurity, privacy and business executives, which meets formally and on a regular basis.","- Steering committee
- Digital Security Program (DSP)
- Cybersecurity & Data Protection Program (CDPP)","Does the organization coordinate cybersecurity, privacy and business alignment through a steering committee or advisory board, comprised of key cybersecurity, privacy and business executives, which meets formally and on a regular basis?"
Cybersecurity & Privacy Governance,Status Reporting To Governing Body,GOV-01.2,Mechanisms exist to provide governance oversight reporting and recommendations to those entrusted to make executive decisions about matters considered material to the organization’s cybersecurity and privacy program.,,Does the organization provide governance oversight reporting and recommendations to those entrusted to make executive decisions about matters considered material to the organization’s cybersecurity and privacy program?
Cybersecurity & Privacy Governance,Publishing Cybersecurity & Privacy Documentation ,GOV-02,"Mechanisms exist to establish, maintain and disseminate cybersecurity and privacy policies, standards and procedures.","- Steering committee
- Digital Security Program (DSP)
- Cybersecurity & Data Protection Program (CDPP)
- Governance, Risk and Compliance Solution (GRC) tool (SCFConnect, SureCloud,Ostendio, ZenGRC, Archer, RSAM, MetricStream, etc.)
- Wiki
- SharePoint","Does the organization establish, maintain and disseminate cybersecurity and privacy policies, standards and procedures?"
Cybersecurity & Privacy Governance,Periodic Review & Update of Cybersecurity & Privacy Program,GOV-03,"Mechanisms exist to review the cybersecurity and privacy program, including policies, standards and procedures, at planned intervals or if significant changes occur to ensure their continuing suitability, adequacy and effectiveness. ","- Governance, Risk and Compliance Solution (GRC) tool (SCFConnect, SureCloud,Ostendio, ZenGRC, Archer, RSAM, MetricStream, etc.)
- Steering committee","Does the organization review cybersecurity and privacy policies, standards and procedures at planned intervals or if significant changes occur to ensure their continuing suitability, adequacy and effectiveness? "
Cybersecurity & Privacy Governance,Assigned Cybersecurity & Privacy Responsibilities ,GOV-04,"Mechanisms exist to assign a qualified individual with the mission and resources to centrally-manage, coordinate, develop, implement and maintain an enterprise-wide cybersecurity and privacy program. ","- NIST NICE Framework
- Chief Information Security Officer (CISO)","Does the organization assign a qualified individual with the mission and resources to centrally-manage coordinate, develop, implement and maintain an enterprise-wide cybersecurity and privacy program? "
Cybersecurity & Privacy Governance,Stakeholder Accountability Structure,GOV-04.1,"Mechanisms exist to enforce an accountability structure so that appropriate teams and individuals are empowered, responsible and trained for mapping, measuring and managing data and technology-related risks.",- Documented roles and responsibilities,"Does the organization enforce an accountability structure so that appropriate teams and individuals are empowered, responsible and trained for mapping, measuring and managing data and technology-related risks?"
Cybersecurity & Privacy Governance,Authoritative Chain of Command,GOV-04.2,Mechanisms exist to establish an authoritative chain of command with clear lines of communication to remove ambiguity from individuals and teams related to managing data and technology-related risks.,- Organization chart,Does the organization establish an authoritative chain of command with clear lines of communication to remove ambiguity from individuals and teams related to managing data and technology-related risks?
Cybersecurity & Privacy Governance,Measures of Performance ,GOV-05,"Mechanisms exist to develop, report and monitor cybersecurity and privacy program measures of performance.","- Metrics
- Governance, Risk and Compliance Solution (GRC) tool (SCFConnect, SureCloud,Ostendio, ZenGRC, Archer, RSAM, MetricStream, etc.)
- Enterprise Risk Management (ERM) solution","Does the organization develop, report and monitor cybersecurity and privacy program measures of performance?"
Cybersecurity & Privacy Governance,Key Performance Indicators (KPIs),GOV-05.1,"Mechanisms exist to develop, report and monitor Key Performance Indicators (KPIs) to assist organizational management in performance monitoring and trend analysis of the cybersecurity and privacy program.",- Key Performance Indicators (KPIs),"Does the organization develop, report and monitor Key Performance Indicators (KPIs) to assist organizational management in performance monitoring and trend analysis of the cybersecurity and privacy program?"
